precinct,election_id,registered_voters,ballots_total
2139.0,29,805.0,594.0
2143.0,0,3205.0,664.0
2143.0,1,3172.0,1582.0
2143.0,3,3126.0,713.0
2143.0,5,3064.0,1223.0
2143.0,6,3016.0,734.0
2143.0,7,2879.0,1451.0
2143.0,9,2665.0,2196.0
2143.0,12,2341.0,912.0
2143.0,16,2238.0,1285.0
2143.0,17,2078.0,534.0
2143.0,19,2095.0,1582.0
2143.0,20,6.0,0.0
2143.0,26,1463.0,516.0
2143.0,28,1595.0,272.0
2143.0,29,1777.0,1004.0
2146.0,17,484.0,210.0
2146.0,19,493.0,383.0
2146.0,20,4.0,0.0
2146.0,26,780.0,323.0
2146.0,28,760.0,186.0
2146.0,29,922.0,531.0
2148.0,6,1388.0,418.0
2148.0,7,1396.0,754.0
2148.0,9,1353.0,1126.0
2148.0,12,1259.0,558.0
2148.0,16,1207.0,760.0
2148.0,17,1130.0,431.0
2148.0,19,1189.0,860.0
2148.0,20,1.0,0.0
2148.0,26,779.0,299.0
2148.0,28,782.0,183.0
2148.0,29,952.0,560.0
2151.0,0,1672.0,427.0
2151.0,1,1653.0,980.0
2151.0,3,1664.0,448.0
2151.0,5,1648.0,765.0
2151.0,6,856.0,236.0
2151.0,7,876.0,446.0
2151.0,9,863.0,682.0
2151.0,12,772.0,338.0
2151.0,17,714.0,236.0
2151.0,19,765.0,538.0
2151.0,20,2.0,1.0
2151.0,26,850.0,291.0
2151.0,28,813.0,147.0
2151.0,29,996.0,512.0
2152.0,1,2642.0,1430.0
2152.0,3,2623.0,588.0
2152.0,5,2566.0,1136.0
2152.0,6,2551.0,689.0
2152.0,7,2571.0,1421.0
2152.0,9,2537.0,2085.0
2152.0,12,2330.0,974.0
2152.0,16,2169.0,1362.0
2152.0,17,1039.0,340.0
2152.0,19,1076.0,798.0
2152.0,20,3.0,0.0
2152.0,26,1027.0,389.0
2152.0,28,1014.0,230.0
2152.0,29,1225.0,794.0
2153.0,0,198.0,29.0
2153.0,1,202.0,80.0
2153.0,3,203.0,50.0
2153.0,5,201.0,62.0
2153.0,6,188.0,41.0
2153.0,7,195.0,111.0
2153.0,9,194.0,153.0
2153.0,12,192.0,72.0
2153.0,16,186.0,98.0
2153.0,17,169.0,43.0
2153.0,19,183.0,113.0
2160.0,1,2019.0,1032.0
2160.0,3,2021.0,366.0
2160.0,5,2050.0,861.0
2160.0,6,2011.0,523.0
2160.0,7,2026.0,1055.0
2160.0,9,2001.0,1627.0
2160.0,12,1853.0,761.0
2160.0,16,1749.0,1101.0
2160.0,17,1673.0,598.0
2160.0,19,1691.0,1301.0
2160.0,20,1.0,1.0
2160.0,26,1585.0,664.0
2160.0,28,1573.0,358.0
2160.0,29,889.0,553.0
2166.0,1,2846.0,1476.0
2166.0,3,2836.0,537.0
